41076,1
35169,1
100,17
183,16
1982,1
708,1
142,16
252,5
101,11
481,2
269,7
92,11
116,16
200,13
280,6
217,5
139,17
114,6
103,11
928,2
119,11
76,18
610,1
562,1
120,13
332,2
134,16
98,17
224,2
176,7
124,13
534,1
111,12
99,15
358,4
104,16
271,3
107,14
156,10
345,4
93,19
199,4
988,1
186,8
1009,1
11554,1
12080,1
7216,1
7191,1
7406,1
7197,1
6320,1
7486,1
5777,1
7571,1
3182,1
2601,1
2025,1
2223,1
1525,1
1249,1
3942,1
1682,1
1823,1
2301,1
4313,1
2833,1
3629,1
3176,1
1185,1
3403,1
592,1
2298,1
1509,1
5633,1
1745,1
1565,1
1319,2
2259,1
4505,1
3513,1
1806,1
1046,1
1340,1
1866,1
2142,1
4695,1
1552,1
1337,1
1364,1
2068,1
3030,1
2410,1
2093,1
1892,1
1881,1
861,1
3208,1
1413,1
2176,1
2372,1
2737,1
2241,1
1241,1
1083,1
3404,1
2351,1
13,525
3,8686
6,3878
4,6659
2,15026
5,5096
15,371
9,1710
17,239
11,975
87,27
8,2400
31,73
10,1261
44,46
7,2977
16,294
132,17
70,25
24,124
67,24
14,439
51,28
29,79
61,20
19,178
0,141904
1,128271
26,105
12,686
23,125
33,84
47,39
66,35
27,90
39,53
21,159
52,39
20,158
45,48
55,30
28,104
22,139
18,234
32,80
46,55
30,88
35,64
54,40
42,44
37,46
38,59
25,115
438,1
1549,1
36,52
305,4
40,58
88,17
359,3
84,16
48,36
394,2
899,1
125,9
77,17
34,86
49,38
4311,1
5061,1
530,1
1000,1
56,33
871,1
287,6
281,3
102,14
751,1
2431,1
462,3
365,2
194,10
267,5
380,3
331,4
136,17
41,43
264,5
62,31
987,1
493,4
513,1
233,3
191,9
262,6
251,5
301,6
180,7
148,13
275,9
151,12
338,4
226,8
593,2
357,5
585,2
105,15
420,4
59,17
437,3
207,6
258,4
144,12
215,7
149,9
163,9
143,17
83,27
95,19
250,7
221,10
204,3
140,8
157,10
110,12
206,9
201,10
161,12
179,8
133,7
216,6
145,12
324,2
160,11
311,1
190,7
374,2
300,1
348,1
721,1
189,9
219,7
91,18
141,9
525,2
153,15
89,13
117,15
652,4
231,9
245,2
167,12
188,6
159,10
222,7
353,5
238,8
279,4
263,2
198,8
261,3
113,15
202,3
112,11
230,7
137,15
293,2
96,24
181,12
155,6
174,12
178,6
350,4
383,3
423,5
429,3
387,5
397,2
162,16
320,6
164,8
152,16
138,14
166,8
135,21
